track_name,duration_ms,explicit,album_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence
End Game,244826,False,reputation,0.649,0.589,-6.237,0.0558,0.00845,0.0,0.108,0.151
I Did Something Bad,238253,False,reputation,0.696,0.602,-6.156,0.159,0.0679,2.11e-05,0.0696,0.305
Don’t Blame Me,236413,False,reputation,0.615,0.534,-6.719,0.0386,0.106,1.76e-05,0.0607,0.193
Delicate,232253,False,reputation,0.75,0.404,-10.178,0.0682,0.216,0.000357,0.0911,0.0499
Look What You Made Me Do,211853,False,reputation,0.766,0.709,-6.471,0.123,0.204,1.41e-05,0.126,0.506
So It Goes...,227906,False,reputation,0.574,0.61,-7.283,0.0732,0.122,1.1e-06,0.13,0.374
Gorgeous,209680,False,reputation,0.8,0.535,-6.684,0.135,0.0713,9.48e-06,0.213,0.451
Getaway Car,233626,False,reputation,0.562,0.689,-6.745,0.127,0.00465,2.23e-06,0.0888,0.351
King Of My Heart,214320,False,reputation,0.675,0.703,-7.902,0.0382,0.00882,2.21e-06,0.0391,0.314
Dancing With Our Hands Tied,211506,False,reputation,0.624,0.691,-6.686,0.196,0.0604,1.1e-05,0.138,0.284
Dress,230373,False,reputation,0.719,0.469,-8.792,0.0533,0.0329,0.0,0.169,0.0851
This Is Why We Can't Have Nice Things,207133,False,reputation,0.567,0.789,-5.986,0.115,0.0156,0.0,0.382,0.438
Call It What You Want,203506,False,reputation,0.598,0.504,-9.874,0.0731,0.186,0.000221,0.34,0.252
New Year’s Day,235466,False,reputation,0.661,0.151,-12.864,0.0354,0.921,0.0,0.13,0.23
The Fate of Ophelia,226000,False,The Life of a Showgirl,0.68,0.75,-5.2,0.04,0.15,0.0,0.12,0.62
Elizabeth Taylor,208000,False,The Life of a Showgirl,0.62,0.68,-6.1,0.05,0.22,0.0,0.1,0.55
Opalite,235000,False,The Life of a Showgirl,0.72,0.8,-4.8,0.06,0.1,0.0,0.15,0.78
Father Figure,212000,True,The Life of a Showgirl,0.5,0.45,-8.5,0.03,0.6,0.0,0.09,0.38
Eldest Daughter,246000,False,The Life of a Showgirl,0.48,0.42,-9.0,0.03,0.65,0.0,0.11,0.35
Ruin the Friendship,220000,False,The Life of a Showgirl,0.7,0.72,-5.5,0.05,0.18,0.0,0.14,0.65
Actually Romantic,163000,False,The Life of a Showgirl,0.52,0.48,-8.0,0.04,0.58,0.0,0.08,0.45
Wish List,207000,False,The Life of a Showgirl,0.65,0.62,-6.8,0.04,0.3,0.0,0.1,0.58
Wood,150000,True,The Life of a Showgirl,0.78,0.85,-4.2,0.07,0.08,0.0,0.18,0.82
Cancelled!,211000,True,The Life of a Showgirl,0.66,0.7,-5.8,0.06,0.2,0.0,0.13,0.52
Honey,181000,False,The Life of a Showgirl,0.58,0.5,-7.5,0.03,0.45,0.0,0.09,0.6
The Life of a Showgirl (feat. Sabrina Carpenter),241000,False,The Life of a Showgirl,0.64,0.66,-6.0,0.05,0.25,0.0,0.12,0.6
